symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2005-01-11 00:00:00+00:00,193.54,197.71,193.18,195.62,13903400,4.8534822347,4.9580550409,4.8444543665,4.9056432508,554419261,0.0,1.0
GOOGL,2005-01-12 00:00:00+00:00,195.38,195.93,190.5,194.33,16339200,4.899624672,4.9134172483,4.7772469035,4.8732933898,651550498,0.0,1.0
GOOGL,2005-01-13 00:00:00+00:00,195.33,197.39,194.05,195.38,13685100,4.8983708014,4.9500302692,4.8662717146,4.899624672,545714216,0.0,1.0
GOOGL,2005-01-14 00:00:00+00:00,199.97,200.01,194.13,196.0,19261300,5.0147299911,5.0157330875,4.8682779075,4.9151726672,768073688,0.0,1.0
GOOGL,2005-01-18 00:00:00+00:00,203.9,205.02,198.66,200.89,26318800,5.1132842185,5.1413709195,4.9818785819,5.0378012097,1049502255,0.0,1.0
GOOGL,2005-01-19 00:00:00+00:00,197.3,205.3,196.71,204.64,22492800,4.9477733022,5.1483925947,4.9329776294,5.1318415031,896934675,0.0,1.0
GOOGL,2005-01-20 00:00:00+00:00,193.92,196.25,192.0,192.58,17985100,4.8630116511,4.92144202,4.8148630209,4.8294079196,717183268,0.0,1.0
GOOGL,2005-01-21 00:00:00+00:00,188.28,195.36,188.12,194.44,18498200,4.7215750499,4.8991231238,4.717562664,4.8760519051,737643913,0.0,1.0
GOOGL,2005-01-24 00:00:00+00:00,180.72,189.33,180.32,188.69,28017300,4.5319898184,4.747906332,4.5219588538,4.7318567886,1117232531,0.0,1.0
GOOGL,2005-01-25 00:00:00+00:00,177.12,182.24,176.29,182.2,21297000,4.4417111368,4.570107484,4.4208968852,4.5691043875,849250328,0.0,1.0
GOOGL,2005-01-26 00:00:00+00:00,189.24,189.41,179.15,179.27,24591100,4.745649365,4.7499125249,4.4926182822,4.4956275716,980607585,0.0,1.0
GOOGL,2005-01-27 00:00:00+00:00,188.08,188.86,185.2,188.76,13241500,4.7165595675,4.7361199486,4.6443366222,4.7336122074,528024990,0.0,1.0
GOOGL,2005-01-28 00:00:00+00:00,190.34,194.7,186.34,190.13,24391900,4.7732345177,4.8825720321,4.6729248714,4.7679682613,972664181,0.0,1.0
GOOGL,2005-01-31 00:00:00+00:00,195.62,196.36,191.72,193.69,19174200,4.9056432508,4.9242005353,4.8078413456,4.8572438464,764600443,0.0,1.0
GOOGL,2005-02-01 00:00:00+00:00,191.9,203.75,190.63,194.38,37640300,4.8123552797,5.1095226068,4.780506967,4.8745472604,1500964319,0.0,1.0
GOOGL,2005-02-02 00:00:00+00:00,205.96,216.8,203.66,215.55,65533000,5.1649436864,5.4367828278,5.1072656398,5.4054360633,2613228236,0.0,1.0
GOOGL,2005-02-03 00:00:00+00:00,210.86,213.37,205.81,205.99,25950200,5.287823003,5.3507673061,5.1611820746,5.1656960087,1034803768,0.0,1.0
GOOGL,2005-02-04 00:00:00+00:00,204.36,207.75,202.6,206.47,29608900,5.1248198279,5.2098322531,5.0806835835,5.1777331663,1180700006,0.0,1.0
GOOGL,2005-02-07 00:00:00+00:00,196.03,206.4,195.51,205.26,25894800,4.9159249895,5.1759777475,4.9028847355,5.1473894983,1032594609,0.0,1.0
GOOGL,2005-02-08 00:00:00+00:00,198.64,200.02,194.53,196.96,22937000,4.9813770337,5.0159838617,4.8783088722,4.9392469823,914647827,0.0,1.0
